LSOA11CD,total_population,imd_score,imd_decile,income_score,health_score,crime_score
E01001583,1638,13.467,7,0.061,-0.783,0.417
E01001584,1543,8.831,8,0.055,-0.949,-0.259
E01001585,1504,12.942,7,0.075,-0.131,0.177
E01001586,1453,24.143,4,0.148,-0.105,0.842
E01001587,2165,12.083,7,0.069,-0.693,-0.048
E01001588,1729,36.01,2,0.196,0.338,1.673
E01001589,1833,27.748,3,0.177,-0.139,0.58
E01001590,1741,18.27,5,0.132,-0.373,0.504
E01001591,2076,31.725,3,0.222,0.606,0.401
E01001592,1843,14.689,6,0.082,-0.385,0.296
E01001593,1751,11.428,7,0.06,-0.431,0.053
E01001594,1992,36.347,2,0.287,0.476,0.159
E01001595,2226,23.247,4,0.158,-0.332,0.565
E01001596,1609,9.357,8,0.056,-0.589,-0.226
E01001597,1613,15.157,6,0.089,-0.465,0.496
E01001598,1605,14.161,7,0.092,-0.528,0.511
E01001599,1793,17.402,6,0.094,-0.416,0.619
E01001600,1649,13.508,7,0.09,-0.484,0.144
E01001601,1563,10.965,8,0.076,-0.374,-0.368
E01001602,1956,32.404,3,0.209,0.456,0.71
E01001603,1736,36.698,2,0.228,0.686,0.536
E01001604,1499,13.453,7,0.077,-0.254,0.374
E01001605,1637,7.194,9,0.035,-0.989,-0.318
E01001606,1696,6.397,9,0.042,-1.078,-0.597
E01001607,1618,17.855,5,0.12,-0.408,0.282
E01001608,1486,14.25,6,0.057,-0.657,0.107
E01001609,1678,21.984,4,0.127,0.023,0.735
E01001610,1703,12.889,7,0.087,-0.31,-0.375
E01001611,1732,18.934,5,0.12,-0.042,-0.327
E01001613,1639,20.04,5,0.147,-0.399,0.555
E01001614,1446,8.565,9,0.038,-1.045,0.514
E01001615,1588,20.234,5,0.117,-0.176,1.01
E01001617,1631,8.775,8,0.054,-0.759,0.125
E01001618,1758,23.606,4,0.152,0.127,0.502
E01001619,1954,14.743,6,0.113,-0.162,-0.061
E01001620,1561,31.693,3,0.192,0.462,0.596
E01001621,1691,31.869,3,0.188,0.137,0.995
E01001623,1785,24.743,4,0.123,-0.08,0.723
E01001624,1523,25.331,4,0.153,0.003,0.625
E01001625,1647,40.633,2,0.248,0.424,0.86
E01001629,2376,30.377,3,0.205,-0.075,0.393
E01001631,2260,34.131,2,0.264,0.285,0.207
E01001632,2624,18.55,5,0.134,-0.295,-0.111
E01001633,1663,34.156,2,0.245,0.545,0.5
E01001634,1740,41.733,2,0.274,0.694,0.54
E01001635,1737,23.232,4,0.141,0.078,1.014
E01001636,1878,25.682,4,0.169,0.213,-0.213
E01001637,1963,27.056,3,0.187,0.021,0.438
E01001638,2106,28.086,3,0.203,0.633,0.022
E01001640,3227,30.555,3,0.236,0.444,0.952
E01001641,1873,16.332,6,0.096,-0.716,0.759
E01001642,1693,11.497,7,0.048,-1.165,1.036
E01001644,2339,17.25,6,0.103,-0.327,0.448
E01001645,1650,27.85,3,0.197,0.244,0.459
E01001646,2657,25.032,4,0.188,0.037,-0.202
E01001647,1474,21.637,4,0.1,-0.272,1.296
E01001648,1708,19.236,5,0.101,-0.327,0.803
E01001649,1619,35.196,2,0.218,-0.007,0.893
E01001650,1793,31.966,3,0.199,0.336,0.693
E01001651,1742,43.603,2,0.24,0.567,1.577
E01001652,1631,17.489,6,0.105,-0.139,0.825
E01001653,1631,40.929,2,0.282,0.33,0.433
E01001654,1602,39.916,2,0.247,0.352,0.481
E01001655,1672,42.546,2,0.265,0.644,0.659
E01001656,1313,18.273,5,0.138,-0.105,-0.205
E01001657,1728,11.265,8,0.072,-0.839,0.158
E01001658,1689,18.198,5,0.128,-0.495,0.134
E01001659,1446,20.724,5,0.093,0.055,0.546
E01001660,1678,33.571,2,0.19,0.085,0.813
E01001661,1581,35.08,2,0.187,0.399,1.171
E01001662,2077,22.073,4,0.144,-0.248,1.065
E01001664,1939,21.316,5,0.111,0.095,0.334
E01001665,2052,17.153,6,0.091,-0.091,0.714
E01001666,1492,25.344,4,0.14,0.316,0.945
E01001667,1568,42.578,2,0.25,0.752,1.834
E01001668,2722,26.89,3,0.183,0.022,0.763
E01001669,2152,27.835,3,0.193,-0.38,0.662
E01001671,1687,22.947,4,0.173,-0.147,0.332
E01001672,2027,27.142,3,0.188,-0.455,0.814
E01001673,2061,35.883,2,0.25,0.614,1.187
E01001674,2198,22.128,4,0.152,-0.755,0.486
E01001675,2118,28.69,3,0.196,0.17,0.729
E01001676,1963,28.338,3,0.185,0.388,0.265
E01001677,2258,19.733,5,0.139,-0.401,0.073
E01001678,1723,14.09,7,0.091,-0.324,-0.288
E01001679,1501,13.493,7,0.086,-0.46,0.151
E01001680,1595,8.857,8,0.051,-0.837,0.31
